iter	Passed	Remaining
1577	26292	5581
1578	26314	5566
1579	26331	5549
1580	26349	5533
1581	26367	5516
1582	26383	5499
1583	26398	5482
1584	26413	5466
1585	26429	5449
1586	26449	5433
1587	26465	5416
1588	26481	5399
1589	26496	5382
1590	26513	5366
1591	26529	5349
1592	26546	5332
1593	26561	5315
1594	26576	5298
1595	26593	5281
1596	26609	5265
1597	26626	5248
1598	26641	5231
1599	26656	5214
1600	26671	5197
1601	26687	5180
1602	26702	5164
1603	26717	5146
1604	26732	5130
1605	26751	5113
1606	26769	5097
1607	26784	5080
1608	26802	5063
1609	26818	5047
1610	26835	5030
1611	26855	5014
1612	26870	4997
1613	26887	4980
1614	26907	4965
1615	26925	4948
1616	26946	4932
1617	26963	4916
1618	26978	4899
1619	26994	4882
1620	27010	4865
1621	27026	4848
1622	27042	4831
1623	27058	4815
1624	27074	4798
1625	27090	4781
1626	27106	4764
1627	27121	4747
1628	27138	4731
1629	27153	4714
1630	27169	4697
1631	27185	4680
1632	27201	4664
1633	27216	4647
1634	27235	4630
1635	27254	4614
1636	27271	4598
1637	27288	4581
1638	27306	4564
1639	27323	4548
1640	27342	4532
1641	27360	4515
1642	27375	4498
1643	27392	4482
1644	27407	4465
1645	27424	4448
1646	27440	4431
1647	27456	4415
1648	27473	4398
1649	27489	4381
1650	27505	4364
1651	27521	4348
1652	27536	4331
1653	27550	4314
1654	27566	4297
1655	27582	4280
1656	27598	4263
1657	27614	4247
1658	27630	4230
1659	27647	4213
1660	27663	4196
1661	27678	4180
1662	27693	4163
1663	27709	4146
1664	27725	4129
1665	27742	4113
